State,AZ,CA,CO,CT,FL,GA,IL,IN,LA,MA,MD,MI,MS,NJ,NY,NV,OH,OK,OR,PA,SC,TX,TN,VA,VT,WA,WI
66,,,,,,,,,,,,,,,,,,,,,,,,,,187,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,416,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,44,,,,,,,,,,,,,,,,,,,,,,,,
80,,,49,,158,,,,,61,,,,,1603,,58,10,,,,,,,,670,
81,,,58,43,185,,,,,71,,,33,,1974,,83,11,43,,,,,32,,,
82,,,72,54,217,,,,,79,,,,,2635,,104,15,56,,,,,38,,,
83,,,84,71,259,,,,271,94,,,86,,3234,,145,25,61,,,,,45,,,
84,,,148,113,316,394,,,491,103,,,117,,3805,,182,59,61,,259,,53,59,,,
85,,,184,125,406,473,,,676,219,132,,150,,6844,,223,86,90,,,,76,65,,,
86,,746,239,173,456,566,,,773,288,173,,185,,7328,,276,105,102,551,,,103,83,45,,
87,,1034,274,,526,617,,,927,350,226,,219,,10054,,344,126,117,682,,,118,99,,,
88,,,326,404,594,666,,,1127,399,277,,235,,12075,,403,140,129,,,,133,112,,,
89,,1432,414,517,652,707,,,1185,453,353,,195,,13721,,475,153,140,386,,,148,136,,,
90,,1617,509,608,823,833,,,1355,562,429,,211,,15904,,585,177,154,514,,196,175,165,,,
91,,1855,620,766,949,952,,,1498,682,522,,332,,18368,,679,219,167,620,,,200,305,,,
92,,1922,710,827,1123,1056,,,1639,813,582,,360,,20817,,802,257,188,730,896,,263,246,,,461
93,,2188,823,909,1287,1158,,,1707,966,664,,420,,23696,,895,289,204,852,,,293,312,,,487
94,,2300,875,1033,1462,1239,,,1726,1068,821,,436,,26383,,1006,316,239,1004,,,311,390,,,588
